169,Sharavati kurti,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Yellow, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short"
163,Koyna kurti,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short"
367,Pamba pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_0K-1K, Sale, Style_Broad Pant"
157,Hemavati kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Grey, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut"
355,Mandovi pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_Red, Price_0k-1K, Style_Cigarette Pant"
151,Painganga kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut"
145,Manjira kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut"
139,Netravati angarakha,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Brown, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha"
349,Netravatin pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Wheat, Price_0k-1K, Sale, Style_Broad Pant"
133,Mandovi angrakha,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Maroon, Color_Pink, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha"
127,Bhagirathi angarakha,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Color_White, Neck Type_V Neck, Price_2K to 3K, Sale, Style_Open Angarakha"
337,Beas pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Wheat, Price_0k-1K, Sale, Style_Cigarette Pant"
121,Panzara kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut"
325,Subarnarekha pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Price_0k-1K, Style_Cigarette Pant"
115,Pavana kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut"
109,Zuari kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Color_White, Neck Type_Chinese Collar, Price_1K to 2K, Sale, Style_Princess Cut"
103,Vaigai kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Color_Blue, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali"
097,Vellar kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali"
307,Vardha pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Price_0K-1K, Sale, Style_Cigarette Pant"
091,Ghaghara kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Neck Type_Round Neck, Price_1K to 2K, Style_Short Kali"
301,Vellar pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Price_0K-1K, Sale, Style_Cigarette Pant"
295,Ghaghra pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Purple, Price_0K-1K, Sale, Style_Cigarette Pant"
085,Chambal kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Silver, Neck Type_V Neck, Price_1K to 2K, Style_Knee Length"
289,Zuari pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Price_0k-1K, Sale, Style_Broad Pant"
079,Dras kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Light Pink, Neck Type_V Neck, Price_1K to 2K, Sale, Style_Knee Length"
073,Jhelum Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Light Purple, Neck Type_V Neck, Price_1K to 2K, Style_Knee Length"
