Handle,Title,Custom Product Type,Tags,Variant SKU
mandovi-dupatta,Mandovi dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Blue, Price_1K to 2K, Style_Kota Doriya",545
pavana-dupatta,Pavana dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Pink, Price_1K to 2K, Sale, Style_Kota Doriya",544
hoogly-dupatta,Hoogly dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_1K to 2K, Sale, Style_Kota Doriya",543
gomai-kurta,Gomai Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_A Line",217
vaighai-dupatta,Vaighai dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_1K to 2K, Style_Kota Doriya",542
tungabhadra-kurta,Tungabhadra Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line",211
narmada-dupatta,Chaliyar Dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Price_1K to 2K, Sale, Style_Kota Doriya",538
pamba-kurta,Pamba Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Orange, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line",205
bhagirathi-dupatta,Bhagirathi dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_1K to 2K, Sale, Style_Kota Doriya",537
betwa-dupatta,Betwa dupatta,Dupatta,"Category_Dupatta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_White, Price_1K to 2K, Sale, Style_Kota Doriya",536
pranhita-kurta,Pranhita Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_White, Color_Yellow, Neck Type_V Neck, Price_1K to 2K, Sale, Style_A Line",199
ulhas-kurta,Ulhas Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",193
kolar-kurta,Kolar Kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Teal Blue, Neck Type_Round, Price_1K to 2K, Style_Straight Cut",187
amravati-kurta,Amravati kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Neck Type_Round, Price_1K to 2K, Sale, Style_Straight Cut",181
pranhita-pant,Pranhita pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Price_0K-1K, Sale, Style_Cigarette Pant",469
chenab-pant,Chenab pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Broad Pant",463
ganga-pant,Ganga pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Style_Cigarette Pant",457
gomai-pant,Gomai pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant",451
sutlej-pant,Sutlej pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Green, Color_White, Price_0K-1K, Style_Broad Pant",445
